"id","alias","descrip","other"
"IL13RA1","CD213A1, CT19, IL-13Ra, NR4","interleukin 13 receptor, alpha 1","CD213a1 antigen|IL-13 receptor subunit alpha-1|IL-13R subunit alpha-1|IL13 receptor alpha-1 chain|cancer/testis antigen 19|interleukin-13 receptor subunit alpha-1"
"DPPA3","STELLA","developmental pluripotency associated 3","developmental pluripotency-associated protein 3|stella-related protein"
"IL13RA2","CD213A2, CT19, IL-13R, IL13BP","interleukin 13 receptor, alpha 2","IL-13 receptor subunit alpha-2|IL-13R subunit alpha-2|IL-13R-alpha-2|IL-13RA2|cancer/testis antigen 19|interleukin 13 binding protein|interleukin 13 receptor alpha 2 chain|interleukin-13 receptor subunit alpha-2|interleukin-13-binding protein"
"FAM101B","CFM1","family with sequence similarity 101, member B","filamin-interacting protein FAM101B|protein FAM101B|refilinB|regulator of filamin protein B"
"IRF2BP2","","interferon regulatory factor 2 binding protein 2","IRF-2-binding protein 2|interferon regulatory factor 2-binding protein 2"
"IL15","IL-15","interleukin 15","interleukin-15"
"AQP3","AQP-3, GIL","aquaporin 3 (Gill blood group)","aquaglyceroporin-3|aquaporin 3 (GIL blood group)|aquaporin-3"
"IL15RA","CD215","interleukin 15 receptor, alpha","interleukin 15 receptor alpha isoform EM2|interleukin 15 receptor alpha isoform IC2|interleukin 15 receptor alpha isoform IC3|interleukin 15 receptor alpha isoform IC4|interleukin 15 receptor alpha isoform IC5|interleukin 15 receptor alpha isoform IC6|interleukin 15 receptor alpha isoform IC7|interleukin 15 receptor alpha isoform IC8|interleukin-15 receptor subunit alpha"
"IL16","LCF, NIL16, PRIL16, prIL-16","interleukin 16","lymphocyte chemoattractant factor|neuronal interleukin 16|pro-interleukin-16|prointerleukin 16"
"IL17A","CTLA8, IL-17, IL-17A, IL17","interleukin 17A","CTLA-8|cytotoxic T-lymphocyte-associated antigen 8|cytotoxic T-lymphocyte-associated protein 8|interleukin 17 (cytotoxic T-lymphocyte-associated serine esterase 8)|interleukin-17A"
"IL18","IGIF, IL-18, IL-1g, IL1F4","interleukin 18","IFN-gamma-inducing factor|IL-1 gamma|iboctadekin|interleukin 18 (interferon-gamma-inducing factor)|interleukin-1 gamma|interleukin-18"
"FOXK2","ILF, ILF-1, ILF1","forkhead box K2","FOXK1|cellular transcription factor ILF-1|forkhead box protein K2|interleukin enhancer binding factor 1|interleukin enhancer-binding factor 1"
"ILF2","NF45, PRO3063","interleukin enhancer binding factor 2","interleukin enhancer binding factor 2, 45kD|interleukin enhancer binding factor 2, 45kDa|interleukin enhancer-binding factor 2|nuclear factor of activated T-cells, 45-kDa"
"ILF3","CBTF, DRBF, DRBP76, MMP4, MPHOSPH4, MPP4, NF-AT-90, NF110, NF110b, NF90, NF90a, NF90b, NFAR, NFAR-1,","interleukin enhancer binding factor 3, 90kDa","M-phase phosphoprotein 4|double-stranded RNA-binding protein, 76 kD|dsRNA binding protein NFAR-2/MPP4|interleukin enhancer binding factor 3, 90kD|interleukin enhancer-binding factor 3|nuclear factor associated with dsRNA|nuclear factor of activated T-cells 90 kDa|nuclear factor of activated T-cells, 90 kD|translational control protein 80"
"ACADSB","2-MEBCAD, ACAD7, SBCAD","acyl-CoA dehydrogenase, short/branched chain","2-methyl branched chain acyl-CoA dehydrogenase|2-methylbutyryl-coenzyme A dehydrogenase|acyl-Coenzyme A dehydrogenase, short/branched chain|short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
"AQP4","HMIWC2, MIWC","aquaporin 4","WCH4|aquaporin 4 isoform delta4|aquaporin type4|aquaporin-4|mercurial-insensitive water channel"
"ILK","HEL-S-28-1, ILK-2, P59, p59ILK, ILK","integrin-linked kinase","59 kDa serine/threonine-protein kinase|epididymis secretory protein Li 28|integrin-linked kinase-2|integrin-linked protein kinase"
"IMPA1","IMP, IMPA","inositol(myo)-1(or 4)-monophosphatase 1","D-galactose 1-phosphate phosphatase|IMP 1|IMPase 1|inositol monophosphatase 1|inositol-1(or 4)-monophosphatase 1|lithium-sensitive myo-inositol monophosphatase A1"
"IMPA2","","inositol(myo)-1(or 4)-monophosphatase 2","IMP 2|IMPase 2|inosine monophosphatase 2|inositol monophosphatase 2|inositol monophosphatase 2 variant 1|inositol monophosphatase 2 variant 2|myo-inositol monophosphatase A2"
"IMPDH1","IMPD, IMPD1, IMPDH-I, LCA11, RP10, sWSS2608","IMP (inosine 5'-monophosphate) dehydrogenase 1","IMP (inosine monophosphate) dehydrogenase 1|IMPD 1|IMPDH 1|inosine-5'-monophosphate dehydrogenase 1"
"IMPDH2","IMPD2, IMPDH-II","IMP (inosine 5'-monophosphate) dehydrogenase 2","IMP (inosine monophosphate) dehydrogenase 2|IMP oxireductase 2|IMPD 2|IMPDH 2|inosine 5' phosphate dehydrogenase 2|inosine monophosphate dehydrogenase type II|inosine-5'-monophosphate dehydrogenase 2"
"IMPG1","GP147, IPM150, SPACR, VMD4","interphotoreceptor matrix proteoglycan 1","interphotoreceptor matrix proteoglycan of 150 kDa|sialoprotein associated with cones and rods"
"INCENP","","inner centromere protein antigens 135/155kDa","binds and activates aurora-B and -C in vivo and in vitro|chromosomal passenger protein|inner centromere protein|inner centromere protein INCENP"
"IDO1","IDO, IDO-1, INDO","indoleamine 2,3-dioxygenase 1","indolamine 2,3 dioxygenase|indole 2,3-dioxygenase|indoleamine-pyrrole 2,3-dioxygenase"
"AQP5","AQP-5, PPKB","aquaporin 5","aquaporin-5"
"ING1","p24ING1c, p33, p33ING1, p33ING1b, p47, p47ING1a","inhibitor of growth family, member 1","growth inhibitor ING1|growth inhibitory protein ING1|inhibitor of growth protein 1|tumor suppressor ING1"
"ING2","ING1L, p33ING2","inhibitor of growth family, member 2","ING1Lp|inhibitor of growth 1-like protein|inhibitor of growth protein 2|p32"
"INHA","","inhibin, alpha","A-inhibin subunit|inhibin alpha chain"
"INHBA","EDF, FRP","inhibin, beta A","FSH-releasing protein|Inhibin, beta-1|activin beta-A chain|erythroid differentiation factor|erythroid differentiation protein|follicle-stimulating hormone-releasing protein|inhibin beta A chain|inhibin, beta A (activin A, activin AB alpha polypeptide)"
"INHBB","","inhibin, beta B","Inhibin, beta-2|activin AB beta polypeptide|activin beta-B chain|inhibin beta B chain"
"INHBC","IHBC","inhibin, beta C","activin beta-C chain|inhibin beta C chain"
"CXCL10","C7, IFI10, INP10, IP-10, SCYB10, crg-2, gIP-10, mob-1","chemokine (C-X-C motif) ligand 10","10 kDa interferon gamma-induced protein|C-X-C motif chemokine 10|gamma IP10|gamma-IP10|interferon-inducible cytokine IP-10|protein 10 from interferon (gamma)-induced cell line|small inducible cytokine subfamily B (Cys-X-Cys), member 10|small-inducible cytokine B10"
"INPP1","","inositol polyphosphate-1-phosphatase","IPP|IPPase|inositol polyphosphate 1-phosphatase"
"INS","IDDM, IDDM1, IDDM2, ILPR, IRDN, MODY10","insulin","preproinsulin|proinsulin"
"AQP6","AQP2L, KID","aquaporin 6, kidney specific","AQP-6|aquaporin 2-like, kidney specific|aquaporin-6|aquaporin-6, kidney specific|hKID|kidney-specific aquaporin"
"INPP4A","INPP4, TVAS1","inositol polyphosphate-4-phosphatase, type I, 107kDa","inositol polyphosphate-4-phosphatase, type I, 107kD|type I inositol 3,4-bisphosphate 4-phosphatase|type I inositol-3,4-bisphosphate 4-phosphatase"
"INPP5A","5PTASE","inositol polyphosphate-5-phosphatase, 40kDa","43 kDa inositol polyphosphate 5-phophatase|CTCL tumor antigen HD-CL-02|InsP3 5-phosphatase|inositol polyphosphate-5-phosphatase, 40kD|inositol trisphosphate-5-phosphatase, 40kD|type I inositol 1,4,5-trisphosphate 5-phosphatase|type I inositol-1,4,5-trisphosphate 5-phophatase|type I inositol-1,4,5-trisphosphate 5-phosphatase"
"INPP5B","5PTase","inositol polyphosphate-5-phosphatase, 75kDa","phosphoinositide 5-phosphatase|type II inositol 1,4,5-trisphosphate 5-phosphatase"
"INPP5D","SHIP, SHIP-1, SHIP1, SIP-145, hp51CN, p150Ship","inositol polyphosphate-5-phosphatase, 145kDa","SH2 domain-containing inositol 5'-phosphatase 1|inositol polyphosphate-5-phosphatase, 145kD|phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1|signaling inositol polyphosphate 5 phosphatase SIP-145|signaling inositol polyphosphate phosphatase SHIP II"
"INPPL1","OPSMD, SHIP2","inositol polyphosphate phosphatase-like 1","51C protein|INPPL-1|SH2 domain-containing inositol 5'-phosphatase 2|SH2 domain-containing inositol-5'-phosphatase 2|SHIP-2|phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2|phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 2|protein 51C"
"INSIG1","CL-6, CL6","insulin induced gene 1","INSIG-1 membrane protein|insulin-induced gene 1 protein"
"INSL3","RLF, RLNL, ley-I-L","insulin-like 3 (Leydig cell)","insulin-like 3|leydig insulin -like hormone|leydig insulin-like peptide|prepro-INSL3|relaxin-like factor b"
"AQP7","AQP7L, AQP9, AQPap, GLYCQTL","aquaporin 7","AQP-7|aquaglyceroporin-7|aquaporin adipose|aquaporin-7"
"INSL4","EPIL, PLACENTIN","insulin-like 4 (placenta)","early placenta insulin-like peptide|early placenta insulin-like peptide (EPIL)|insulin-like peptide 4"
"INSM1","IA-1, IA1","insulinoma-associated 1","insulinoma-associated protein 1|zinc finger protein IA-1"
"INSR","CD220, HHF5","insulin receptor","IR"
"INSRR","IRR","insulin receptor-related receptor","IR-related receptor|insulin receptor-related protein"
"EIF3E","EIF3-P48, EIF3S6, INT6, eIF3-p46","eukaryotic translation initiation factor 3, subunit E","eIF-3 p48|eukaryotic translation initiation factor 3 subunit 6|eukaryotic translation initiation factor 3 subunit E|eukaryotic translation initiation factor 3, subunit 6 (48kD)|eukaryotic translation initiation factor 3, subunit 6 48kDa|mammary tumor-associated protein INT6|murine mammary tumor integration site 6 (oncogene homolog)|viral integration site protein INT-6 homolog"
"IPP","KLHL27","intracisternal A particle-promoted polypeptide","actin-binding protein IPP|kelch-like family member 27|kelch-like protein 27"
"IPW","NCRNA00002","imprinted in Prader-Willi syndrome (non-protein coding)","non-protein coding RNA 2"
"IRAK1","IRAK, pelle","interleukin-1 receptor-associated kinase 1","IRAK-1|Pelle homolog"
"ITGA6","CD49fB, VLA-6, ITGA6","integrin, alpha 6","CD49 antigen-like family member F|integrin alpha-6|integrin alpha6B"
"IRAK2","IRAK-2","interleukin-1 receptor-associated kinase 2","interleukin-1 receptor associated kinase-2|interleukin-1 receptor-associated kinase-like 2"
"IREB2","ACO3, IRP2, IRP2AD","iron-responsive element binding protein 2","IRE-BP 2|iron regulatory protein 2|iron-responsive element-binding protein 2"
"IRF1","IRF-1, MAR","interferon regulatory factor 1","interferon regulatory factor 1 isoform +I9|interferon regulatory factor 1 isoform d78|interferon regulatory factor 1 isoform delta4|interferon regulatory factor 1 isoform delta7"
"IRF2","IRF-2","interferon regulatory factor 2",""
"AQP9","AQP-9, HsT17287, SSC1","aquaporin 9","aquaglyceroporin-9|aquaporin-9|small solute channel 1"
"IRF3","","interferon regulatory factor 3",""
"IRF4","LSIRF, MUM1, NF-EM5, SHEP8","interferon regulatory factor 4","lymphocyte-specific interferon regulatory factor|multiple myeloma oncogene 1"
"IRF5","SLEB10","interferon regulatory factor 5",""
"IRF6","LPS, OFC6, PIT, PPS, PPS1, VWS, VWS1","interferon regulatory factor 6",""
"IRF7","IMD39, IRF-7HA, IRF7B, IRF7C, IRF7H, IRF7","interferon regulatory factor 7","IRF-7|interferon regulatory factor-7H"
"IRS1","HIRS-1","insulin receptor substrate 1","IRS-1"
"ISG20","CD25, HEM45","interferon stimulated exonuclease gene 20kDa","estrogen-regulated transcript 45 protein|interferon-stimulated gene 20 kDa protein|promyelocytic leukemia nuclear body-associated protein ISG20"
"ISL1","ISLET1, Isl-1","ISL LIM homeobox 1","ISL1 transcription factor, LIM/homeodomain|insulin gene enhancer protein ISL-1|islet-1"
"AR","AIS8, DHTR, HUMARA, HYSP1, KD, NR3C4, SBMA, SMAX1, TFM, AR","androgen receptor","androgen nuclear receptor variant 2|androgen receptor splice variant 4b|dihydrotestosterone receptor|nuclear receptor subfamily 3 group C member 4"
"ISLR","HsT17563","immunoglobulin superfamily containing leucine-rich repeat","immunoglobulin superfamily containing leucine-rich repeat protein"
"ITGA1","CD49a, VLA1","integrin, alpha 1","CD49 antigen-like family member A|VLA-1|integrin alpha-1|laminin and collagen receptor|very late activation protein 1"
"ITGA2","BR, CD49B, GPIa, HPA-5, VLA-2, VLAA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","CD49 antigen-like family member B|VLA2 receptor, alpha-2 subunit|collagen receptor|human platelet alloantigen system 5|integrin alpha-2|platelet antigen Br|platelet glycoprotein GPIa|platelet membrane glycoprotein Ia|very late activation protein 2 receptor, alpha-2 subunit"
"ITGA2B","BDPLT16, BDPLT2, CD41, CD41B, GP2B, GPIIb, GT, GTA, HPA3, PPP1R93","integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)","GPalpha IIb|integrin alpha-IIb|platelet fibrinogen receptor, alpha subunit|platelet membrane glycoprotein IIb|platelet-specific antigen BAK|protein phosphatase 1, regulatory subunit 93"
"ITGA3","CD49C, GAP-B3, GAPB3, ILNEB, MSK18, VCA-2, VL3A, VLA3a","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","CD49 antigen-like family member C|FRP-2|VLA-3 subunit alpha|antigen identified by monoclonal antibody J143|galactoprotein B3|integrin alpha-3|very late activation protein 3 receptor, alpha-3 subunit"
"ITGA4","CD49D, IA4","integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)","269C wild type|CD49 antigen-like family member D|VLA-4 subunit alpha|antigen CD49D, alpha-4 subunit of VLA-4 receptor|integrin alpha 4|integrin alpha-4|integrin alpha-4 subunit|integrin alpha-IV|very late activation protein 4 receptor, alpha 4 subunit"
"ITGA5","CD49e, FNRA, VLA-5, VLA5A","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","CD49 antigen-like family member E|fibronectin receptor subunit alpha|fibronectin receptor, alpha subunit|integrin alpha-5|integrin alpha-F|very late activation protein 5, alpha subunit"
"ITGA7","","integrin, alpha 7","integrin alpha 7 chain|integrin alpha-7"
"ITGA9","ALPHA-RLC, ITGA4L, RLC","integrin, alpha 9","integrin alpha-9|integrin alpha-RLC"
"ABCC6","ABC34, ARA, EST349056, GACI2, MLP1, MOAT-E, MOATE, MRP6, PXE, PXE1, URG7","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","ATP-binding cassette sub-family C member 6|anthracycline resistance-associated protein|multi-specific organic anion transporter E|multidrug resistance-associated protein 6"
"ITGAD","ADB2, CD11D","integrin, alpha D","CD11 antigen-like family member D|integrin alpha-D|leukointegrin alpha D"
"ITGAE","CD103, HUMINAE","integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)","HML-1 antigen|antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide|integrin alpha-E|integrin alpha-IEL|mucosal lymphocyte 1 antigen"
"ITGAL","CD11A, LFA-1, LFA1A","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide","CD11 antigen-like family member A|LFA-1 alpha|LFA-1A|antigen CD11A (p180), lymphocyte function-associated antigen 1, alpha polypeptide|integrin alpha-L|integrin gene promoter|leukocyte adhesion glycoprotein LFA-1 alpha chain|leukocyte function-associated molecule 1 alpha chain|lymphocyte function-associated antigen 1"
"ITGAM","CD11B, CR3A, MAC-1, MAC1A, MO1A, SLEB6","integrin, alpha M (complement component 3 receptor 3 subunit)","CD11 antigen-like family member B|CR-3 alpha chain|antigen CD11b (p170)|cell surface glycoprotein MAC-1 subunit alpha|integrin alpha-M|leukocyte adhesion receptor MO1|macrophage antigen alpha polypeptide|neutrophil adherence receptor alpha-M subunit"
"ITGAV","CD51, MSK8, VNRA, VTNR","integrin, alpha V","antigen identified by monoclonal antibody L230|integrin alpha-V|integrin alphaVbeta3|integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)|vitronectin receptor subunit alpha"
"ITGAX","CD11C, SLEB6","integrin, alpha X (complement component 3 receptor 4 subunit)","CD11 antigen-like family member C|integrin alpha-X|integrin, alpha X (antigen CD11C (p150), alpha polypeptide)|leu M5, alpha subunit|leukocyte adhesion glycoprotein p150,95 alpha chain|leukocyte adhesion receptor p150,95|leukocyte surface antigen p150,95, alpha subunit|myeloid membrane antigen, alpha subunit|p150 95 integrin alpha chain"
"ITGB1","CD29, FNRB, GPIIA, MDF2, MSK12, VLA-BETA, VLAB","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","glycoprotein IIa|integrin VLA-4 beta subunit|integrin beta-1|very late activation protein, beta polypeptide"
"ITGB2","CD18, LAD, LCAMB, LFA-1, MAC-1, MF17, MFI7","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","cell surface adhesion glycoprotein (LFA-1/CR3/P150,959 beta subunit precursor)|complement receptor C3 beta-subunit|integrin beta chain, beta 2|integrin beta-2|leukocyte cell adhesion molecule CD18|leukocyte-associated antigens CD18/11A, CD18/11B, CD18/11C"
"ITGB3","BDPLT16, BDPLT2, CD61, GP3A, GPIIIa, GT","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","integrin beta-3|platelet membrane glycoprotein IIIa"
"ARAF","A-RAF1, PKS2, RAFA1, ARAF","A-Raf proto-oncogene, serine/threonine kinase","A-Raf proto-oncogene serine/threonine-protein kinase|Oncogene ARAF1|Ras-binding protein DA-Raf|proto-oncogene A-Raf-1|proto-oncogene Pks|serine/threonine-protein kinase A-Raf|v-raf murine sarcoma 3611 viral oncogene homolog 1"
"ITGB4","CD104","integrin, beta 4","CD104 antigen|GP150|integrin beta-4|integrin beta-4 subunit"
"EIF6","CAB, EIF3A, ITGB4BP, b(2)gcn, eIF-6, p27(BBP), p27BBP","eukaryotic translation initiation factor 6","B4 integrin interactor|eIF-6|eukaryotic translation initiation factor 3A|p27 beta-4 integrin-binding protein"
